source,target,weight
lemon,extract,2659
lemon,pecan,1142
lemon,soda,2182
lemon,chile,272
lemon,half,1496
lemon,halibut,64
lemon,mayonnaise,4920
lemon,muffin,78
lemon,mustard,4696
lemon,arugula,294
lemon,sorrel,15
lemon,tarragon,850
lemon,top,153
lemon,paprika,3021
lemon,pimiento,210
lemon,sherry,378
lemon,wheat,686
lemon,curry,1223
lemon,dough,161
lemon,spinach,1248
lemon,cherry,781
lemon,tapioca,108
lemon,banana,929
lemon,oat,666
lemon,ham,1386
lemon,olive,1895
lemon,cider,644
lemon,avocado,1461
lemon,red,2194
lemon,vinegar,1575
lemon,marshmallow,136
lemon,eel,1132
lemon,semolina,58
lemon,calvados,44
lemon,ginger,3011
lemon,ketjap manis,8
lemon,oelek,42
lemon,beef,1221
lemon,fillet,1896
lemon,ground,10022
lemon,apricot,135
lemon,scallop,375
lemon,baby,379
lemon,ngo,512
lemon,coriander,572
lemon,lentil,417
lemon,paste,1228
lemon,radish,677
lemon,flake,2055
lemon,leaf,2258
lemon,leave,507
lemon,ale,472
lemon,cake,392
lemon,chanterelle,1
lemon,ahi,761
lemon,head,193
lemon,catsup,182
lemon,crawfish,20
lemon,tender,44
lemon,turmeric,711
lemon,green,1852
lemon,pasta,1527
lemon,pumpkin,248
lemon,vermouth,222
lemon,spice,1161
lemon,bourbon,197
lemon,yoghurt,90
lemon,herb,358
lemon,cut,117
lemon,mix,433
lemon,brandy,630
lemon,puree,223
lemon,ketchup,949
lemon,piece,288
lemon,citron,40
lemon,rum,1110
lemon,caul,295
lemon,anchovy,136
lemon,sage,879
lemon,spaghetti,226
lemon,style,176
lemon,tea,470
lemon,vodka,622
lemon,courgette,36
lemon,caper,1471
lemon,grit,35
lemon,harissa,123
lemon,marnier,151
lemon,prune,167
lemon,lobster,90
lemon,beer,294
lemon,yeast,504
lemon,juice,646
lemon,snapper,51
lemon,pastry,282
lemon,sprout,154
lemon,marmalade,29
lemon,liquid,18
lemon,way,124
lemon,flower,6
lemon,fig,236
lemon,crab,351
lemon,jicama,59
lemon,broccoli,527
lemon,gelatin,586
lemon,cod,262
lemon,kiwi,182
lemon,tuna,757
lemon,sake,64
lemon,barley,67
lemon,bacon,1121
lemon,linguine,286
